username,thumbnail,nfollowers,subfolder
SonyD,https://static-cdn.jtvnw.net/jtv_user_pictures/sonyd-profile_image-b3c7f544dda22b71-300x300.jpeg,"52,460 followers",/channel/sonyd
Glaxycsgo,https://static-cdn.jtvnw.net/jtv_user_pictures/glaxycsgo-profile_image-20544e3cd90dcddf-300x300.png,"52,453 followers",/channel/glaxycsgo
rdo1337,https://static-cdn.jtvnw.net/jtv_user_pictures/rdo1337-profile_image-0b64527e3fda266d-300x300.jpeg,"52,453 followers",/channel/rdo1337
Paoloidolo,https://static-cdn.jtvnw.net/jtv_user_pictures/paoloidolo-profile_image-7850020ac370f464-300x300.jpeg,"52,448 followers",/channel/paoloidolo
RussianPaladin,https://static-cdn.jtvnw.net/jtv_user_pictures/russianpaladin-profile_image-fe825f3d54fd764c-300x300.jpeg,"52,442 followers",/channel/russianpaladin
SkizzTv,https://static-cdn.jtvnw.net/jtv_user_pictures/skizztv-profile_image-1551f995e50f900e-300x300.jpeg,"52,432 followers",/channel/skizztv
Artosis,https://static-cdn.jtvnw.net/jtv_user_pictures/artosis-profile_image-dc47ab8f7ae1f67b-300x300.jpeg,"52,407 followers",/channel/artosis
ExecCS,https://static-cdn.jtvnw.net/jtv_user_pictures/execcs-profile_image-60c869d457d3d57e-300x300.png,"52,380 followers",/channel/execcs
RockLeeSmile,https://static-cdn.jtvnw.net/jtv_user_pictures/rockleesmile-profile_image-7ee159d29968ec4b-300x300.jpeg,"52,366 followers",/channel/rockleesmile
freakhopper,https://static-cdn.jtvnw.net/jtv_user_pictures/freakhopper-profile_image-0af2206d85977719-300x300.jpeg,"52,338 followers",/channel/freakhopper
Sick_Nerd,https://static-cdn.jtvnw.net/jtv_user_pictures/sick_nerd-profile_image-b5cbaa61440cf6c2-300x300.jpeg,"52,321 followers",/channel/sick_nerd
WCS Europe,https://static-cdn.jtvnw.net/jtv_user_pictures/wcs_europe-profile_image-80f993d9552120cd-300x300.jpeg,"52,290 followers",/channel/wcs_europe
PMS_UNFORGIVEN,https://static-cdn.jtvnw.net/jtv_user_pictures/pms_unforgiven-profile_image-acb510c5c93db90e-300x300.jpeg,"52,260 followers",/channel/pms_unforgiven
Shpendiboy,https://static-cdn.jtvnw.net/jtv_user_pictures/shpendiboy-profile_image-1311334fd5df1536-300x300.jpeg,"52,251 followers",/channel/shpendiboy
Aunnest,https://static-cdn.jtvnw.net/jtv_user_pictures/aunnest-profile_image-2622592d60ff6dd5-300x300.,"52,191 followers",/channel/aunnest
iKasperr,https://static-cdn.jtvnw.net/jtv_user_pictures/ikasperr-profile_image-443c6abe013baac6-300x300.png,"52,144 followers",/channel/ikasperr
shtan_udachi,https://static-cdn.jtvnw.net/jtv_user_pictures/shtan_udachi-profile_image-99fd3b1effd33edf-300x300.png,"52,122 followers",/channel/shtan_udachi
ASUSROG,https://static-cdn.jtvnw.net/jtv_user_pictures/asusrog-profile_image-a1dbccd6ee767752-300x300.jpeg,"52,062 followers",/channel/asusrog
OoLaLa87,https://static-cdn.jtvnw.net/jtv_user_pictures/oolala87-profile_image-5886b4d3c50e158d-300x300.jpeg,"52,050 followers",/channel/oolala87
DrLupo,https://static-cdn.jtvnw.net/jtv_user_pictures/drlupo-profile_image-fdb10166324bd34b-300x300.jpeg,"52,018 followers",/channel/drlupo
PureSpam,https://static-cdn.jtvnw.net/jtv_user_pictures/purespam-profile_image-b15d339ac3959c62-300x300.jpeg,"51,964 followers",/channel/purespam
ArmadaUGS,https://static-cdn.jtvnw.net/jtv_user_pictures/armadaugs-profile_image-0095d80fd286cf4d-300x300.jpeg,"51,940 followers",/channel/armadaugs
Iam_chappie,https://static-cdn.jtvnw.net/jtv_user_pictures/iam_chappie-profile_image-7fe1e0dbdb060649-300x300.png,"54,244 followers",/channel/iam_chappie
Luke_Lafr,https://static-cdn.jtvnw.net/jtv_user_pictures/luke_lafr-profile_image-70ea5a990c018d06-300x300.jpeg,"54,229 followers",/channel/luke_lafr
Princess_PwnZ,https://static-cdn.jtvnw.net/jtv_user_pictures/princess_pwnz-profile_image-adffd4d84723f9cf-300x300.png,"54,030 followers",/channel/princess_pwnz
BigBruddaGaming,https://static-cdn.jtvnw.net/jtv_user_pictures/bigbruddagaming-profile_image-bd244f3554e78e65-300x300.jpeg,"54,025 followers",/channel/bigbruddagaming
HappyStick,https://static-cdn.jtvnw.net/jtv_user_pictures/happystick-profile_image-f514e28356520c82-300x300.png,"53,998 followers",/channel/happystick
PhlyDaily,https://static-cdn.jtvnw.net/jtv_user_pictures/phlydaily-profile_image-50efd50c0f090ca0-300x300.png,"53,968 followers",/channel/phlydaily
OPL,https://static-cdn.jtvnw.net/jtv_user_pictures/opl-profile_image-2c63559f3c224810-300x300.jpeg,"53,952 followers",/channel/opl
LegendOfGamer,https://static-cdn.jtvnw.net/jtv_user_pictures/legendofgamer-profile_image-6fa2486036dc0eed-300x300.png,"53,944 followers",/channel/legendofgamer
小銘,https://static-cdn.jtvnw.net/jtv_user_pictures/hcm1008-profile_image-99d1cd93a5af792a-300x300.jpeg,"53,873 followers",/channel/hcm1008
MilleniumTVLoL,https://static-cdn.jtvnw.net/jtv_user_pictures/milleniumtvlol-profile_image-ff2429286c8c534a-300x300.png,"53,861 followers",/channel/milleniumtvlol
warchiwar,https://static-cdn.jtvnw.net/jtv_user_pictures/warchiwar-profile_image-cbe10c25a2ebd0ca-300x300.jpeg,"53,732 followers",/channel/warchiwar
Star Citizen,https://static-cdn.jtvnw.net/jtv_user_pictures/starcitizen-profile_image-047d907a595cfab7-300x300.jpeg,"53,708 followers",/channel/starcitizen
Aplfisher,https://static-cdn.jtvnw.net/jtv_user_pictures/aplfisher-profile_image-93e47c84acc5086a-300x300.jpeg,"53,673 followers",/channel/aplfisher
1Adrianaries1,https://static-cdn.jtvnw.net/jtv_user_pictures/1adrianaries1-profile_image-9090dc28ae5f8257-300x300.png,"53,604 followers",/channel/1adrianaries1
DeSeRtodtv,https://static-cdn.jtvnw.net/jtv_user_pictures/desertodtv-profile_image-6b2ad9aec9db9ad0-300x300.png,"53,520 followers",/channel/desertodtv
machinegunnerusmc,https://static-cdn.jtvnw.net/jtv_user_pictures/machinegunnerusmc-profile_image-f924bb90d18e0882-300x300.jpeg,"53,468 followers",/channel/machinegunnerusmc
SayeedBlack,https://static-cdn.jtvnw.net/jtv_user_pictures/sayeedblack-profile_image-d85fba160d502b90-300x300.png,"53,368 followers",/channel/sayeedblack
Unboxholics,https://static-cdn.jtvnw.net/jtv_user_pictures/unboxholics-profile_image-7613c78b44855f23-300x300.jpeg,"53,260 followers",/channel/unboxholics
Gale_Adelade,https://static-cdn.jtvnw.net/jtv_user_pictures/gale_adelade-profile_image-3356539bf170d5fb-300x300.jpeg,"53,256 followers",/channel/gale_adelade
Spikevegeta,https://static-cdn.jtvnw.net/jtv_user_pictures/spikevegeta-profile_image-4ccba409d6b18a3f-300x300.jpeg,"53,250 followers",/channel/spikevegeta
Dexter_LoL,https://static-cdn.jtvnw.net/jtv_user_pictures/dexter_lol-profile_image-d5fb9a2235b94fc4-300x300.jpeg,"53,145 followers",/channel/dexter_lol
VersusTheStream,https://static-cdn.jtvnw.net/jtv_user_pictures/versusthestream-profile_image-e1e39942788b21de-300x300.png,"53,086 followers",/channel/versusthestream
